"Add New Tax Rate","Add New VAT Rate"
"Add New Tax Rule","Add New VAT Rule"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including VAT"
"Apply Tax After Discount","Apply VAT After Discount"
"Apply Tax On","Apply VAT on"
"Catalog prices include tax","Catalogue prices include VAT"
"Customer Tax Class","Customer VAT Class"
"Customer Tax Class Information","Customer VAT Class Information"
"Customer Tax Classes","Customer VAT Classes"
"Default Tax Origin Calculation","Default VAT Origin Calculation"
"Display Cart/Order Prices","Display Basket/Order Prices"
"Display Shipping Prices","Display Delivery Prices"
"Display Zero Tax Subtotal","Display Zero VAT Subtotal"
"Display full tax summary","Display full VAT summary"
"Edit Tax Rate","Edit VAT Rate"
"Error while deleting this tax rule. Please try again later.","Error while deleting this VAT rule. Please try again later."
"Error while saving this tax class. Class with the same name ","Error while saving this VAT class. Class with the same name "
"Error while saving this tax class. Please try again later.","Error while saving this VAT class. Please try again later."
"Error while saving this tax rule. Please try again later.","Error while saving this VAT rule. Please try again later."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this VAT rule. This product VAT class, customer VAT class and VAT rate combination"
"Excl. Tax","Excl. VAT"
"Excl. Tax:","Excl. VAT:"
"Excluding tax","Excluding VAT"
"Export Tax Rates","Export VAT Rates"
"Grand Total Excl. Tax","Grand Total Excl. VAT"
"Grand Total Incl. Tax","Grand Total Incl. VAT"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply VAT After Discount' option is enabled"
"Import / Export Tax Rates","Import / Export VAT Rates"
"Import Tax Rates","Import VAT Rates"
"Inc. Tax","Inc. VAT"
"Incl. Tax","Incl. VAT"
"Incl. Tax:","Incl. VAT:"
"Including and excluding tax","Including and excluding VAT"
"Including tax","Including VAT"
"Invalid data for tax rate calculation","Invalid data for VAT rate calculation"
"Manage Customer Tax Classes","Manage Customer VAT Classes"
"Manage Product Tax Classes","Manage Product VAT Classes"
"Manage Tax Rates","Manage VAT Rates"
"Manage Tax Rules","Manage VAT Rules"
"Manage Tax Zones & Rates","Manage VAT Zones & Rates"
"New Tax Rate","New VAT Rate"
"Product Tax Class","Product VAT Class"
"Product Tax Class Information","Product VAT Class Information"
"Product Tax Classes","Product VAT Classes"
"Shipping & Handling (Excl.Tax)","Delivery & Handling (Excl.VAT)"
"Shipping & Handling (Incl.Tax)","Delivery & Handling (Incl.VAT)"
"Shipping & Handling Tax","Delivery & Handling VAT"
"Shipping (Excl. Tax)","Delivery (Excl. VAT)"
"Shipping (Incl. Tax)","Delivery (Incl. VAT)"
"Shipping Excl. Tax (%s)","Delivery Excl. VAT (%s)"
"Shipping Incl. Tax (%s)","Delivery Incl. VAT (%s)"
"Shipping Prices","Delivery Prices"
"Shipping prices include tax","Delivery prices include VAT"
"State","County/State"
"State/Region","County/State"
"Tax","VAT"
"Tax Based On","VAT Based On"
"Tax Class for Shipping","VAT Class for Delivery"
"Tax Classes","VAT Classes"
"Tax Identifier","VAT Identifier"
"Tax Rate","VAT Rate"
"Tax Rate Information","VAT Rate Information"
"Tax Rule Information","VAT Rule Information"
"Tax Rules","VAT Rules"
"Tax Section","VAT Section"
"Tax Titles","VAT Titles"
"Tax class was successfully deleted","VAT class was successfully deleted"
"Tax class was successfully saved","VAT class was successfully saved"
"Tax rate was successfully deleted","VAT rate was successfully deleted"
"Tax rate was successfully imported","VAT rate was successfully imported"
"Tax rate was successfully saved","VAT rate was successfully saved"
"Tax rates at the same priority are added, others are compounded.","VAT rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","VAT rule was successfully deleted"
"Tax rule was successfully saved","VAT rule was successfully saved"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this VAT class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this VAT class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this VAT class as it is used in VAT Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Postcode/Zip"
